Date : 2025-03-27 14:53:12
Directory : c:\Users\louis\SiteVitrineViadex
Total : 114 files,  15069 codes, 96 comments, 1047 blanks, all 16212 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\louis\SiteVitrineViadex\src\pages\Formation.tsx                            | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Index.tsx                                | TypeScript JSX     |         30 |          0 |          6 |         36 |
| c:\Users\louis\SiteVitrineViadex\src\pages\MentionsLegales.tsx                      | TypeScript JSX     |         74 |          0 |         11 |         85 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Methodologie.tsx                         | TypeScript JSX     |        141 |          3 |          9 |        153 |
| c:\Users\louis\SiteVitrineViadex\src\pages\PourquoiViadex.tsx                       | TypeScript JSX     |        127 |          5 |         15 |        147 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Services.tsx                             | TypeScript JSX     |        120 |          3 |          9 |        132 |
| c:\Users\louis\SiteVitrineViadex\src\services\apiService.ts                         | TypeScript         |         46 |          3 |         12 |         61 |
| c:\Users\louis\SiteVitrineViadex\src\services\authService.ts                        | TypeScript         |         22 |          7 |          6 |         35 |
| c:\Users\louis\SiteVitrineViadex\src\services\blogService.ts                        | TypeScript         |        116 |          8 |         21 |        145 |
| c:\Users\louis\SiteVitrineViadex\src\services\contactService.ts                     | TypeScript         |         90 |          2 |         15 |        107 |
| c:\Users\louis\SiteVitrineViadex\src\services\databaseService.ts                    | TypeScript         |          4 |          2 |          2 |          8 |
| c:\Users\louis\SiteVitrineViadex\src\services\index.ts                              | TypeScript         |          4 |          1 |          2 |          7 |
| c:\Users\louis\SiteVitrineViadex\src\types\database.ts                              | TypeScript         |         62 |          3 |          9 |         74 |
| c:\Users\louis\SiteVitrineViadex\src\vite-env.d.ts                                  | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\louis\SiteVitrineViadex\tailwind.config.ts                                 | TypeScript         |         55 |          0 |          3 |         58 |
| c:\Users\louis\SiteVitrineViadex\tsconfig.app.json                                  | JSON               |         25 |          2 |          4 |         31 |
| c:\Users\louis\SiteVitrineViadex\tsconfig.json                                      | JSON with Comments |         19 |          0 |          1 |         20 |
| c:\Users\louis\SiteVitrineViadex\tsconfig.node.json                                 | JSON               |         18 |          2 |          3 |         23 |
| c:\Users\louis\SiteVitrineViadex\vite.config.ts                                     | TypeScript         |         19 |          1 |          3 |         23 |
| Total                                                                               |                    |     15,069 |         96 |      1,047 |     16,212 |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
